Employee_ID,Age,Years_Experience,WFH_Days_Per_Week,Department,Job_Level,Home_Office_Quality,Internet_Speed_Category,Manager_Support_Level,Team_Collaboration_Frequency,Work_Hours_Per_Week,Meetings_Per_Week,Commute_Time_Minutes,Stress_Level,Work_Life_Balance,Job_Satisfaction,Productivity_Score
EMP0106,38,9,4,Marketing,Lead,Good,Fast (50-100 Mbps),High,Weekly,34,8,22,6,7,100,98
EMP0107,51,17,4,Sales,Manager,Average,Moderate (25-50 Mbps),High,Daily,38,5,47,8,7,100,82.8
EMP0108,36,7,3,Engineering,Lead,Excellent,Moderate (25-50 Mbps),High,Daily,47,2,41,7,5,100,98
EMP0109,37,8,4,Engineering,Senior,Good,Fast (50-100 Mbps),Very High,Weekly,37,11,46,9,8,100,98
EMP0110,34,4,5,Finance,Mid-Level,Excellent,Fast (50-100 Mbps),High,Daily,34,8,0,2,6,100,98
EMP0111,22,1,1,Sales,Junior,Good,Fast (50-100 Mbps),Low,Daily,41,13,10,6,7,84.6,57.1
EMP0112,34,1,2,Data Science,Junior,Average,Very Fast (100+ Mbps),Very High,Few times per week,37,10,49,6,5,100,75.9
EMP0113,35,5,4,Sales,Senior,Excellent,Very Fast (100+ Mbps),Very High,Few times per week,25,11,0,2,8,100,98
EMP0114,57,3,5,Data Science,Mid-Level,Excellent,Very Fast (100+ Mbps),Moderate,Daily,43,9,0,7,5,100,98
EMP0115,33,3,1,Engineering,Senior,Average,Very Fast (100+ Mbps),Very High,Monthly,47,3,33,4,9,100,98
EMP0116,37,5,0,Engineering,Senior,Good,Very Fast (100+ Mbps),High,Bi-weekly,41,8,41,7,6,100,98
EMP0117,34,4,0,Sales,Junior,Good,Moderate (25-50 Mbps),High,Bi-weekly,48,6,58,2,4,100,72.8
EMP0118,24,0,0,Product,Junior,Poor,Fast (50-100 Mbps),Low,Few times per week,45,9,53,6,7,84.6,67.3
EMP0119,45,12,5,Marketing,Senior,Good,Very Fast (100+ Mbps),High,Monthly,36,6,0,6,7,100,56
EMP0120,41,5,4,Engineering,Mid-Level,Average,Very Fast (100+ Mbps),Low,Weekly,54,6,43,6,6,99.1,70.4
EMP0121,42,13,4,Engineering,Senior,Poor,Fast (50-100 Mbps),Moderate,Weekly,43,6,46,5,8,100,98
EMP0122,26,1,3,Sales,Mid-Level,Excellent,Very Fast (100+ Mbps),Moderate,Few times per week,44,5,23,5,6,89.1,54.3
EMP0123,47,14,4,Operations,Lead,Good,Very Fast (100+ Mbps),Moderate,Daily,36,10,5,6,4,100,98
EMP0124,22,1,1,Sales,Junior,Good,Moderate (25-50 Mbps),Very High,Bi-weekly,32,8,46,5,2,100,94.8
EMP0125,40,2,3,HR,Junior,Average,Fast (50-100 Mbps),Very High,Few times per week,35,11,37,9,9,98.5,56.6
EMP0126,54,6,3,Operations,Senior,Good,Fast (50-100 Mbps),High,Monthly,47,8,16,9,6,100,92.2
EMP0127,26,1,1,Product,Junior,Average,Fast (50-100 Mbps),Very High,Daily,52,10,36,5,7,100,42.6
EMP0128,29,2,3,Marketing,Junior,Poor,Very Fast (100+ Mbps),Very Low,Monthly,43,7,35,7,4,78.4,45
EMP0129,35,2,2,Sales,Junior,Average,Fast (50-100 Mbps),Moderate,Daily,42,10,65,7,6,100,65.2
EMP0130,30,5,0,Data Science,Mid-Level,Average,Fast (50-100 Mbps),High,Few times per week,47,9,6,8,7,100,65.6
EMP0131,22,1,1,Sales,Junior,Average,Fast (50-100 Mbps),Moderate,Few times per week,50,9,59,1,6,60.1,63.5
EMP0132,35,8,4,Sales,Senior,Average,Very Fast (100+ Mbps),Very Low,Weekly,33,10,24,5,10,94.1,60.8
EMP0133,25,1,0,Customer Success,Mid-Level,Excellent,Moderate (25-50 Mbps),Low,Weekly,51,5,31,3,7,66.7,74.6
EMP0134,39,1,5,Engineering,Junior,Average,Very Fast (100+ Mbps),Moderate,Few times per week,39,4,0,5,10,89.1,75.2
EMP0135,26,1,1,Sales,Junior,Average,Fast (50-100 Mbps),High,Daily,48,12,60,6,4,100,67.1
EMP0136,48,6,4,Engineering,Mid-Level,Good,Fast (50-100 Mbps),Very High,Few times per week,35,2,16,8,9,100,75.4
EMP0137,27,3,5,Engineering,Junior,Excellent,Fast (50-100 Mbps),Very High,Daily,48,11,0,8,7,100,97.2
EMP0138,32,6,5,Engineering,Lead,Good,Fast (50-100 Mbps),Very High,Weekly,33,6,0,6,5,100,49.3
EMP0139,42,4,5,Engineering,Senior,Excellent,Very Fast (100+ Mbps),Very High,Daily,48,9,0,2,8,100,98
EMP0140,23,0,2,Sales,Junior,Good,Very Fast (100+ Mbps),Low,Few times per week,45,12,45,5,7,70.2,76.1
EMP0141,37,5,2,Customer Success,Senior,Good,Very Fast (100+ Mbps),Low,Monthly,32,6,21,3,7,100,97.5
EMP0142,46,6,3,Operations,Lead,Poor,Very Fast (100+ Mbps),Moderate,Daily,49,11,21,7,4,100,98
EMP0143,22,0,1,Operations,Junior,Good,Very Fast (100+ Mbps),Moderate,Few times per week,36,7,64,7,7,98.4,92.8
EMP0144,36,5,0,Marketing,Senior,Average,Fast (50-100 Mbps),Moderate,Daily,48,6,43,6,5,76.4,76.6
EMP0145,37,5,5,Customer Success,Mid-Level,Excellent,Very Fast (100+ Mbps),High,Daily,42,9,0,5,6,100,79.6
EMP0146,42,9,3,Product,Senior,Good,Very Fast (100+ Mbps),Low,Few times per week,34,11,44,8,9,75.2,86.1
EMP0147,23,0,4,Customer Success,Junior,Good,Fast (50-100 Mbps),High,Few times per week,35,4,0,6,4,100,77.6
EMP0148,23,0,5,Customer Success,Junior,Good,Moderate (25-50 Mbps),Moderate,Few times per week,65,8,0,6,9,100,77.5
EMP0149,39,2,4,Engineering,Mid-Level,Average,Fast (50-100 Mbps),High,Bi-weekly,55,9,44,8,6,100,67.8
EMP0150,37,7,4,Operations,Mid-Level,Average,Moderate (25-50 Mbps),Low,Weekly,40,7,9,2,4,91.5,48.7
EMP0151,37,5,4,Operations,Senior,Average,Fast (50-100 Mbps),Moderate,Bi-weekly,44,9,15,4,8,100,74.9
EMP0152,38,3,1,Marketing,Mid-Level,Good,Very Fast (100+ Mbps),Moderate,Few times per week,49,13,25,6,7,100,84.5
EMP0153,28,3,2,Marketing,Mid-Level,Average,Fast (50-100 Mbps),Very High,Few times per week,34,6,42,6,6,100,65.1
EMP0154,37,6,5,Engineering,Mid-Level,Good,Very Fast (100+ Mbps),High,Few times per week,46,5,0,6,5,100,98
EMP0155,37,8,5,Engineering,Lead,Excellent,Very Fast (100+ Mbps),Moderate,Weekly,47,11,0,7,6,100,98
EMP0156,28,2,5,Product,Junior,Average,Very Fast (100+ Mbps),High,Few times per week,44,10,0,5,4,100,98
EMP0157,51,2,3,Operations,Junior,Average,Very Fast (100+ Mbps),Low,Daily,50,12,30,1,8,95.8,78.3
EMP0158,39,5,5,Engineering,Mid-Level,Good,Fast (50-100 Mbps),Moderate,Daily,42,5,0,5,5,95.7,72.4
EMP0159,24,0,0,Engineering,Junior,Average,Fast (50-100 Mbps),High,Few times per week,48,10,47,9,8,100,60.9
EMP0160,40,3,1,Operations,Senior,Average,Very Fast (100+ Mbps),High,Daily,43,11,42,7,8,100,98
EMP0161,26,1,3,Sales,Junior,Good,Moderate (25-50 Mbps),Moderate,Daily,32,8,30,5,9,100,98
EMP0162,42,5,3,Marketing,Mid-Level,Good,Fast (50-100 Mbps),High,Weekly,47,7,20,4,3,100,72.8
EMP0163,45,6,2,Engineering,Senior,Poor,Fast (50-100 Mbps),Very High,Daily,49,3,39,8,6,100,83.7
EMP0164,27,1,2,Engineering,Junior,Average,Moderate (25-50 Mbps),Very High,Few times per week,41,5,43,4,7,100,70
EMP0165,43,11,1,Sales,Senior,Good,Very Fast (100+ Mbps),Very High,Weekly,33,9,6,6,8,100,98
EMP0166,38,3,3,Finance,Senior,Good,Fast (50-100 Mbps),High,Daily,47,13,32,6,4,100,91.1
EMP0167,42,6,4,Engineering,Lead,Good,Very Fast (100+ Mbps),High,Daily,43,12,28,5,8,100,98
EMP0168,52,6,4,Sales,Mid-Level,Good,Fast (50-100 Mbps),Moderate,Daily,43,11,40,5,3,77.8,61.6
EMP0169,32,5,1,Finance,Mid-Level,Good,Moderate (25-50 Mbps),Moderate,Few times per week,43,2,65,7,6,89.1,80.4
EMP0170,28,2,3,Customer Success,Mid-Level,Good,Fast (50-100 Mbps),Moderate,Weekly,48,8,48,3,3,84,59.8
EMP0171,26,1,4,Engineering,Junior,Average,Very Fast (100+ Mbps),High,Few times per week,43,6,0,5,4,100,98
EMP0172,27,1,3,HR,Junior,Average,Very Fast (100+ Mbps),Low,Few times per week,39,7,12,9,8,67.6,35
EMP0173,34,8,3,Design,Senior,Poor,Very Fast (100+ Mbps),Moderate,Few times per week,32,10,9,7,1,65.8,51.6
EMP0174,38,7,4,Product,Senior,Average,Fast (50-100 Mbps),High,Weekly,39,8,25,2,7,100,98
EMP0175,37,5,5,HR,Mid-Level,Average,Very Fast (100+ Mbps),Moderate,Daily,47,11,0,5,3,100,84.5
EMP0176,42,5,1,Finance,Senior,Average,Very Fast (100+ Mbps),Very High,Weekly,39,5,21,3,8,100,94
EMP0177,35,1,3,Engineering,Junior,Good,Fast (50-100 Mbps),High,Weekly,47,9,39,6,8,100,98
EMP0178,48,7,3,Operations,Lead,Poor,Very Fast (100+ Mbps),Very Low,Daily,33,2,14,3,7,100,91.5
EMP0179,32,3,3,Operations,Mid-Level,Excellent,Moderate (25-50 Mbps),High,Few times per week,35,5,28,5,8,100,80.3
EMP0180,59,20,1,Sales,Manager,Good,Very Fast (100+ Mbps),Moderate,Daily,35,11,19,6,7,99.9,98
EMP0181,40,2,1,Marketing,Junior,Good,Very Fast (100+ Mbps),High,Few times per week,42,8,37,5,6,100,80.7
EMP0182,27,0,2,Finance,Junior,Good,Very Fast (100+ Mbps),Low,Daily,52,10,0,6,6,96.1,66.5
EMP0183,25,1,5,Design,Junior,Good,Slow (<25 Mbps),High,Daily,55,7,0,10,7,100,98
EMP0184,39,7,4,Sales,Senior,Average,Fast (50-100 Mbps),High,Few times per week,48,10,15,4,6,100,68.2
EMP0185,32,2,4,Engineering,Mid-Level,Excellent,Very Fast (100+ Mbps),Moderate,Weekly,30,7,0,6,1,68.1,70.1
EMP0186,41,6,4,Operations,Lead,Poor,Fast (50-100 Mbps),Moderate,Bi-weekly,37,5,41,6,3,87,90.6
EMP0187,39,6,1,Engineering,Lead,Good,Fast (50-100 Mbps),Moderate,Weekly,25,8,37,8,7,100,88.5
EMP0188,34,6,5,Operations,Senior,Poor,Very Fast (100+ Mbps),Moderate,Few times per week,42,7,0,5,6,65.3,54.3
EMP0189,27,3,3,Engineering,Senior,Good,Fast (50-100 Mbps),High,Monthly,51,8,23,6,10,100,98
EMP0190,22,1,2,Marketing,Junior,Good,Very Fast (100+ Mbps),High,Daily,46,11,27,7,6,100,96.5
EMP0191,30,0,4,Operations,Mid-Level,Good,Very Fast (100+ Mbps),Moderate,Daily,31,10,22,9,3,100,98
EMP0192,42,3,4,Engineering,Senior,Average,Fast (50-100 Mbps),Moderate,Few times per week,50,10,40,4,5,89.8,76.5
EMP0193,36,7,4,Engineering,Lead,Excellent,Very Fast (100+ Mbps),High,Few times per week,49,6,25,10,7,100,83.9
EMP0194,23,0,1,Sales,Mid-Level,Good,Moderate (25-50 Mbps),Moderate,Few times per week,51,8,27,7,7,90.1,61.2
EMP0195,36,0,5,Sales,Junior,Excellent,Very Fast (100+ Mbps),Low,Weekly,48,1,0,6,7,83.9,43
EMP0196,38,5,5,Finance,Senior,Good,Fast (50-100 Mbps),Moderate,Daily,38,6,0,4,4,100,98
EMP0197,27,0,2,Marketing,Junior,Poor,Very Fast (100+ Mbps),Very High,Few times per week,30,9,0,6,8,100,98
EMP0198,36,1,0,Sales,Junior,Excellent,Moderate (25-50 Mbps),High,Few times per week,49,10,24,3,9,100,95.6
EMP0199,35,2,1,Marketing,Mid-Level,Average,Very Fast (100+ Mbps),High,Weekly,46,10,32,9,4,100,93.2
EMP0200,24,0,5,Engineering,Junior,Average,Slow (<25 Mbps),High,Bi-weekly,30,7,0,4,7,100,74.7
EMP0201,38,8,3,HR,Senior,Excellent,Very Fast (100+ Mbps),High,Weekly,36,12,30,7,5,100,98
EMP0202,40,7,2,Engineering,Lead,Good,Fast (50-100 Mbps),High,Daily,36,8,45,5,4,100,98
EMP0203,44,15,2,Customer Success,Senior,Excellent,Fast (50-100 Mbps),Very High,Weekly,46,8,49,4,5,100,82.6
EMP0204,44,2,2,Marketing,Junior,Good,Very Fast (100+ Mbps),High,Daily,41,9,32,8,7,100,96.9
EMP0205,22,1,4,Marketing,Junior,Excellent,Very Fast (100+ Mbps),High,Monthly,40,4,11,8,9,100,90.9
EMP0206,26,2,3,Finance,Junior,Good,Moderate (25-50 Mbps),High,Weekly,39,7,22,1,8,100,98
EMP0207,39,9,5,Customer Success,Senior,Good,Very Fast (100+ Mbps),Very High,Few times per week,35,5,0,9,4,100,98
EMP0208,39,10,4,Design,Senior,Average,Fast (50-100 Mbps),Very High,Weekly,47,8,10,5,6,100,98
EMP0209,39,8,4,Marketing,Mid-Level,Average,Very Fast (100+ Mbps),High,Few times per week,37,7,0,3,4,100,87.2
EMP0210,65,32,2,Engineering,Director,Average,Slow (<25 Mbps),Low,Daily,48,7,43,6,6,98.6,88.5
EMP0211,40,8,0,Product,Senior,Good,Fast (50-100 Mbps),Moderate,Weekly,33,10,0,3,7,100,84.3
EMP0212,45,17,3,Engineering,Manager,Good,Very Fast (100+ Mbps),High,Few times per week,39,9,8,4,8,100,73.7
EMP0213,43,14,2,Customer Success,Senior,Good,Very Fast (100+ Mbps),Low,Bi-weekly,53,7,33,6,8,100,85.7
EMP0214,40,15,2,Finance,Lead,Good,Very Fast (100+ Mbps),High,Daily,43,12,67,5,2,100,50.7
EMP0215,32,6,5,Product,Senior,Good,Very Fast (100+ Mbps),Moderate,Weekly,39,9,0,4,7,100,68.4
EMP0216,41,1,3,Product,Junior,Poor,Very Fast (100+ Mbps),Very High,Weekly,38,7,14,4,6,100,85.8
EMP0217,28,3,1,Engineering,Mid-Level,Good,Moderate (25-50 Mbps),Moderate,Bi-weekly,36,8,0,6,6,100,83
